,Class,Total distance [yd],Distance / min [yd/min],Maximum speed [mph],Average speed [mph],Sprints,Distance in Speed zone 2 [yd] (0.10 - 2.59 mph),Distance in Speed zone 3 [yd] (2.60 - 5.13 mph),Distance in Speed zone 4 [yd] (5.14 - 8.38 mph),Distance in Speed zone 5 [yd] (8.39- mph),Number of accelerations (-50.00 - -3.00 m/s),Number of accelerations (-2.99 - -2.00 m/s),Number of accelerations (-1.99 - -1.00 m/s),Number of accelerations (-0.99 - -0.50 m/s),Number of accelerations (0.50 - 0.99 m/s),Number of accelerations (1.00 - 1.99 m/s),Number of accelerations (2.00 - 2.99 m/s),Number of accelerations (3.00 - 50.00 m/s),Min Played,Total accelerations
113,Defender,12007,74,16.6,2.7,0.12307692307692308,0.11651536603647872,0.27858749063046556,0.39726826018156075,0.20737902889980844,0.004734848484848485,0.029356060606060608,0.171875,0.3068181818181818,0.2916666666666667,0.1699810606060606,0.02225378787878788,0.0033143939393939395,65,2112.0
115,Forward,3226,20,15.7,0.7,1.0,0.29603223806571605,0.2644141351518909,0.3161810291382517,0.12213267203967762,0.004162330905306972,0.018730489073881373,0.14568158168574402,0.3631633714880333,0.3048907388137357,0.1404786680541103,0.022892819979188347,0.0,2,961.0
116,Midfielder,8039,50,15.5,1.8,0.18421052631578946,0.15213334991914418,0.26247045652444334,0.3915909939047145,0.19330762532653314,0.011896431070678797,0.03358992302309307,0.16864940517844645,0.3100069979006298,0.2603219034289713,0.18404478656403078,0.02799160251924423,0.0034989503149055285,38,1429.0
117,Defender,4304,27,15.9,1.0,0.4166666666666667,0.22769516728624536,0.2822955390334573,0.3320167286245353,0.1575278810408922,0.006809338521400778,0.0311284046692607,0.1614785992217899,0.31906614785992216,0.3005836575875486,0.1517509727626459,0.02529182879377432,0.0038910505836575876,12,1028.0
118,Midfielder,13656,84,16.8,3.1,0.1111111111111111,0.1225834797891037,0.3010398359695372,0.37346221441124783,0.2026215582893966,0.005244755244755245,0.03496503496503497,0.17220279720279721,0.30506993006993005,0.2718531468531469,0.17963286713286714,0.029283216783216784,0.0017482517482517483,90,2288.0
120,Midfielder,11158,69,17.8,2.4,0.25396825396825395,0.15011650833482704,0.27818605484853914,0.31753002330166696,0.25380892633088364,0.01338432122370937,0.04541108986615679,0.15200764818355642,0.3016252390057361,0.28107074569789675,0.16395793499043976,0.03919694072657744,0.0033460803059273425,63,2092.0
122,Defender,13218,81,18.5,2.9,0.13333333333333333,0.15357845362384628,0.3118474807081253,0.38039037675896503,0.15403238008775913,0.008399440037330844,0.026598226784881007,0.17592160522631825,0.3061129258049463,0.2846476901539897,0.16472235184321046,0.03126458236117592,0.0023331777881474567,90,2143.0
124,Forward,9987,62,18.0,2.3,0.22413793103448276,0.14308601181535996,0.3171122459196956,0.34885350956243116,0.1907479723640733,0.0049813200498132005,0.03549190535491906,0.17434620174346202,0.3026151930261519,0.2770859277708593,0.16874221668742218,0.03300124533001245,0.0037359900373599006,58,1606.0
125,Defender,13031,80,16.1,2.9,0.13333333333333333,0.15793108740695266,0.3208502801012969,0.36704780907067763,0.15394060317703936,0.004649196956889264,0.032121724429416736,0.17962806424344885,0.2971259509721048,0.28275570583262893,0.17075232459847844,0.030431107354184278,0.00253592561284869,90,2366.0
128,Forward,15009,83,18.0,3.1,0.5930232558139535,0.1232593777067093,0.2992204677193684,0.33273369311746287,0.24458658138450262,0.011337868480725623,0.03476946334089191,0.15495086923658352,0.32275132275132273,0.26303854875283444,0.15306122448979592,0.04610733182161754,0.013983371126228269,86,2646.0
130,Forward,11153,62,17.9,2.2,0.36,0.1708060611494665,0.33632206581188917,0.2873666278131444,0.20496727337935983,0.018173122907699665,0.03825920612147298,0.15351506456241032,0.30750836920133906,0.2812051649928264,0.1492109038737446,0.043041606886657105,0.009086561453849833,75,2091.0
131,Defender,4773,26,15.8,1.0,0.375,0.22124450031426776,0.3283050492352818,0.313429708778546,0.1357636706473916,0.005139500734214391,0.0315712187958884,0.16226138032305434,0.3303964757709251,0.27312775330396477,0.15565345080763582,0.039647577092511016,0.0022026431718061676,16,1362.0
133,Midfielder,10939,61,18.5,2.3,0.38095238095238093,0.14562574275527929,0.3489350031995612,0.34436420148093977,0.16070938842673005,0.008349705304518664,0.03585461689587426,0.13998035363457761,0.33988212180746563,0.2784872298624754,0.14538310412573674,0.04273084479371316,0.009332023575638507,63,2036.0
134,Defender,12475,69,16.7,2.6,0.1875,0.16080160320641282,0.3788376753507014,0.32665330661322645,0.1333066132264529,0.00641025641025641,0.030448717948717948,0.15424679487179488,0.33092948717948717,0.29607371794871795,0.14783653846153846,0.03125,0.0028044871794871795,80,2496.0
135,Defender,11165,62,18.8,2.3,0.2,0.16435288849081953,0.316256157635468,0.380832960143305,0.1380206000895656,0.004128819157720892,0.02601156069364162,0.1490503715937242,0.342691990090834,0.2931461601981833,0.15524360033030554,0.027250206440957887,0.002477291494632535,65,2422.0
136,Midfielder,4251,24,15.9,0.9,0.5,0.22935779816513763,0.30392848741472595,0.3208656786638438,0.14467184191954835,0.004803843074459567,0.02321857485988791,0.13370696557245795,0.37229783827061647,0.3066453162530024,0.12730184147317855,0.029623698959167333,0.0024019215372297837,10,1249.0
137,Midfielder,8357,46,17.7,1.7,0.23684210526315788,0.17661840373339716,0.2782098839296398,0.33337322005504366,0.2112001914562642,0.0056410256410256415,0.033846153846153845,0.14615384615384616,0.32666666666666666,0.31076923076923074,0.14307692307692307,0.03076923076923077,0.003076923076923077,38,1950.0
138,Forward,3890,22,16.1,0.8,1.4,0.27866323907455015,0.3115681233933162,0.30719794344473006,0.10102827763496144,0.005208333333333333,0.026041666666666668,0.11979166666666667,0.37797619047619047,0.32217261904761907,0.12351190476190477,0.022321428571428572,0.002976190476190476,5,1344.0
139,Midfielder,7809,43,16.5,1.6,0.3783783783783784,0.15302855679344346,0.3097707773082341,0.3638109873223204,0.17274939172749393,0.010422698320787493,0.03937463810075275,0.1592356687898089,0.3022582513028373,0.2895193977996526,0.1557614360162131,0.03705848291835553,0.006369426751592357,37,1727.0
140,Defender,4417,25,13.5,1.0,0.46153846153846156,0.221190853520489,0.32125877292279825,0.33506905139234777,0.12157573013357482,0.0048543689320388345,0.03640776699029126,0.14563106796116504,0.3446601941747573,0.2815533980582524,0.15129449838187703,0.03317152103559871,0.0024271844660194173,13,1236.0
141,Midfielder,12707,71,16.4,2.7,0.17777777777777778,0.1367750059022586,0.355788148264736,0.35075155426143073,0.15644920122766978,0.005220883534136547,0.0321285140562249,0.16626506024096385,0.31606425702811247,0.2863453815261044,0.1570281124497992,0.03172690763052209,0.005220883534136547,90,2490.0
143,Midfielder,12844,71,17.5,2.7,0.4375,0.14917471192774837,0.31929305512301465,0.33151666147617564,0.19978199937714108,0.009135399673735726,0.03295269168026101,0.15889070146818923,0.31419249592169657,0.2828711256117455,0.15399673735725938,0.041109298531810765,0.006851549755301794,80,3065.0
145,Defender,12518,69,20.0,2.6,0.18888888888888888,0.17678542898226554,0.35181338872024287,0.3410289183575651,0.13005272407732865,0.0029069767441860465,0.020764119601328904,0.16362126245847175,0.3372093023255814,0.2911129568106312,0.15573089700996678,0.02367109634551495,0.0049833887043189366,90,2408.0
146,Defender,9320,52,13.5,1.9,0.21818181818181817,0.20182403433476395,0.342381974248927,0.33476394849785407,0.12049356223175965,0.00399800099950025,0.027486256871564217,0.14942528735632185,0.34632683658170915,0.28335832083958024,0.15542228885557222,0.02948525737131434,0.004497751124437781,55,2001.0
147,Forward,8391,47,16.7,1.8,0.16279069767441862,0.16172089143129545,0.3208199261113097,0.322607555714456,0.1944941008223096,0.005418422636965683,0.034918723660445516,0.1547260686333534,0.3257074051776038,0.275737507525587,0.16556291390728478,0.034918723660445516,0.0030102347983142685,43,1661.0
148,Defender,8953,50,15.0,1.9,0.37735849056603776,0.19825756729587848,0.3197810789679437,0.3207863286049369,0.16061655311068915,0.004162330905306972,0.023413111342351717,0.1696149843912591,0.32466181061394384,0.3054110301768991,0.13735691987513007,0.029656607700312174,0.005723204994797087,53,1922.0
151,Forward,13835,86,17.9,3.2,0.4246575342465753,0.10487893024936755,0.3140585471629924,0.366389591615468,0.2143838091796169,0.007947639083683964,0.03880317905563347,0.171575502571295,0.30528284244974285,0.24310425432445068,0.1771856007480131,0.04675081813931744,0.009350163627863487,73,2139.0
153,Forward,10754,67,17.0,2.8,0.38271604938271603,0.13799516458992003,0.3286219081272085,0.34535986609633623,0.18802306118653525,0.0200445434298441,0.05846325167037862,0.15701559020044542,0.2811804008908686,0.24387527839643652,0.17483296213808464,0.053452115812917596,0.011135857461024499,81,1796.0
155,Defender,3781,23,13.2,0.9,2.5,0.2266596138587675,0.30706162390901875,0.3705368950013224,0.09468394604601957,0.0030706243602865915,0.03172978505629478,0.15455475946775846,0.3541453428863869,0.27533265097236437,0.150460593654043,0.028659160696008188,0.0020470829068577278,2,977.0
156,Midfielder,13626,84,16.3,3.0,0.3058823529411765,0.12307353588727434,0.34125935711140465,0.3582856304124468,0.17723469837076178,0.009495036685369012,0.03754855416486837,0.16961588260681917,0.29520932239965475,0.275787656452309,0.16227880880448856,0.04315925766076824,0.0069054812257229176,85,2317.0
157,Defender,12781,79,17.7,3.0,0.13333333333333333,0.16524528597136373,0.35513653078788826,0.3537281902824505,0.1257335106799155,0.0026666666666666666,0.025333333333333333,0.16355555555555557,0.3248888888888889,0.3031111111111111,0.1537777777777778,0.02311111111111111,0.0035555555555555557,90,2250.0
158,Defender,4431,27,15.0,1.2,0.09090909090909091,0.16452268111035884,0.3583841119386143,0.347777025502144,0.12863913337846988,0.0030425963488843813,0.02535496957403651,0.16531440162271804,0.3286004056795132,0.295131845841785,0.15618661257606492,0.02535496957403651,0.0010141987829614604,11,986.0
160,Midfielder,7494,46,20.5,1.7,0.36666666666666664,0.15519081932212436,0.30998131838804377,0.34414198025086734,0.1898852415265546,0.006984866123399301,0.03608847497089639,0.15424912689173456,0.3242142025611176,0.29976717112922,0.14144353899883585,0.034924330616996506,0.002328288707799767,30,1718.0
161,Midfielder,6796,42,14.7,1.5,0.5185185185185185,0.15347263095938787,0.316656856974691,0.37978222483814006,0.14935256032960564,0.006423982869379015,0.03997144896502498,0.1763026409707352,0.3012134189864383,0.2491077801570307,0.1827266238401142,0.03854389721627409,0.005710206995003569,27,1401.0
162,Defender,6249,39,14.3,1.4,0.6153846153846154,0.18995039206273004,0.32501200192030727,0.35237638022083534,0.13170107217154745,0.00535475234270415,0.02610441767068273,0.18741633199464525,0.3038821954484605,0.2684069611780455,0.16265060240963855,0.040160642570281124,0.006024096385542169,26,1494.0
163,Midfielder,10211,63,15.8,3.6,0.2,0.10498482029184213,0.32259328175497015,0.3701890118499657,0.2021349525022035,0.006031363088057901,0.040410132689987936,0.19300361881785283,0.27683956574185764,0.24909529553679133,0.18516284680337755,0.04101326899879373,0.008443908323281062,90,1658.0
165,Midfielder,9699,60,18.2,2.2,0.26666666666666666,0.16372821940406226,0.3052892050726879,0.33116816166615115,0.19929889679348387,0.01364522417153996,0.041423001949317736,0.14473684210526316,0.32894736842105265,0.26120857699805067,0.1627680311890838,0.04239766081871345,0.004873294346978557,60,2052.0
166,Defender,13078,81,17.1,3.0,0.1,0.14727022480501606,0.3400367028597645,0.3470714176479584,0.165468726104909,0.0044603033006244425,0.027653880463871544,0.16592328278322926,0.32738626226583406,0.2752007136485281,0.16904549509366637,0.028991971454058876,0.0013380909901873326,90,2242.0
167,Defender,12681,78,15.6,3.0,0.17777777777777778,0.18105827616118603,0.35154956233735507,0.3645611544830849,0.10243671634729122,0.0026030368763557484,0.02863340563991323,0.17396963123644252,0.3149674620390456,0.2533622559652928,0.19045553145336225,0.03210412147505423,0.0039045553145336228,90,2305.0
168,Forward,10114,63,14.4,2.3,0.14035087719298245,0.14138817480719795,0.3157998813525806,0.36276448487245405,0.17975084041922088,0.0034207525655644243,0.04047890535917902,0.17103762827822122,0.3010262257696693,0.282212086659065,0.1636259977194983,0.036488027366020526,0.0017103762827822121,57,1754.0
169,Defender,13683,85,16.4,3.3,0.18888888888888888,0.13337718336622087,0.3082657311992984,0.38295695388438206,0.17518088138566104,0.006925740669488265,0.038476337052712584,0.18237783762985763,0.2862639476721816,0.26163909195844554,0.18814928818776452,0.03270488649480569,0.0034628703347441324,90,2599.0
171,Forward,14413,75,16.4,2.7,0.3132530120481928,0.13314368972455423,0.2831471588149587,0.35259834871296747,0.23083327551515992,0.006517311608961304,0.032586558044806514,0.1629327902240326,0.3372708757637475,0.25743380855397147,0.14908350305498982,0.04806517311608961,0.006109979633401222,83,2455.0
173,Forward,12315,64,19.0,2.3,0.37777777777777777,0.17775071051563135,0.30361347949654893,0.28047097036134794,0.23784003248071459,0.015598650927487353,0.051011804384485666,0.1433389544688027,0.3081787521079258,0.26812816188870153,0.1572512647554806,0.049747048903878585,0.006745362563237774,90,2372.0
176,Midfielder,14278,75,23.8,2.8,0.38202247191011235,0.12851940047625718,0.33113881496007846,0.32210393612550775,0.21809777279731055,0.01095579901775595,0.0438231960710238,0.1556479032867397,0.2988288628636192,0.2795617680392898,0.15602568945976578,0.04646769928220627,0.008689081979599547,89,2647.0
177,Defender,13737,72,18.5,2.6,0.1308411214953271,0.20732328747179152,0.32452500545970736,0.3155710853898231,0.15228943728616146,0.0072685539403213465,0.027161438408569244,0.15225707727620505,0.3205814843152257,0.2957153787299158,0.16449885233358838,0.028309104820198928,0.004208110175975516,107,2614.0
178,Defender,4991,26,15.7,1.0,0.9,0.211781206171108,0.2626728110599078,0.32318172710879584,0.20136245241434583,0.0029154518950437317,0.024052478134110787,0.13848396501457727,0.37682215743440234,0.2944606413994169,0.12536443148688048,0.033527696793002916,0.004373177842565598,10,1372.0
180,Midfielder,7819,41,27.0,1.5,0.40625,0.18186468857910218,0.24657884639979538,0.32907021358229954,0.24171888988361684,0.01082004555808656,0.03018223234624146,0.14009111617312073,0.33997722095671984,0.30239179954441914,0.1315489749430524,0.038154897494305236,0.00683371298405467,32,1756.0
181,Midfielder,6927,36,16.7,1.3,0.6206896551724138,0.16341850729031326,0.2572542226071893,0.3450267070882056,0.2335787498195467,0.010135135135135136,0.04391891891891892,0.1662162162162162,0.30743243243243246,0.2648648648648649,0.16283783783783784,0.03648648648648649,0.008108108108108109,29,1480.0
182,Defender,10178,53,19.0,2.0,0.3125,0.18510512870898016,0.2935743761053252,0.3542935743761053,0.16673216741992533,0.007585335018963337,0.03581963758954909,0.16097766540244415,0.3190054782975137,0.268857985672145,0.16603455541508638,0.03497682258744206,0.0067425200168563,64,2373.0
183,Midfielder,14051,73,17.6,2.9,0.17757009345794392,0.16304889331720163,0.30125969681873177,0.32609778663440325,0.2092377766706996,0.010798303123794832,0.03895102198225993,0.16274585422290783,0.3166216737369842,0.24836097184728115,0.16930196683378326,0.047435403008098724,0.005784805244890089,107,2593.0
185,Midfielder,12110,63,19.0,2.3,0.3950617283950617,0.17184145334434353,0.29380677126341864,0.32411230388109,0.20982658959537573,0.010906612133605999,0.038173142467621,0.152692569870484,0.3074301295160191,0.29107021131561006,0.15337423312883436,0.03851397409679618,0.007839127471029312,81,2934.0
186,Defender,14274,75,17.2,2.7,0.1308411214953271,0.16659660921956004,0.3147681098500771,0.3331932184391201,0.1850917752557097,0.00482315112540193,0.033360128617363344,0.16519292604501606,0.32194533762057875,0.2717041800643087,0.16278135048231512,0.03657556270096463,0.003617363344051447,107,2488.0
187,Defender,13348,70,16.8,2.6,0.14018691588785046,0.22183098591549297,0.3336080311657177,0.3037159124962541,0.14054540005993407,0.005134281200631911,0.02843601895734597,0.14139020537124802,0.3499210110584518,0.27527646129541866,0.1646919431279621,0.03238546603475513,0.002764612954186414,107,2532.0
188,Forward,8383,44,16.9,1.7,0.20408163265306123,0.14899200763449838,0.32649409519265177,0.30573780269593226,0.21841822736490515,0.0110573600552868,0.043538355217691775,0.16793365583966827,0.29716655148583276,0.25570145127850724,0.1713890808569454,0.0497581202487906,0.0034554250172771253,49,1447.0
189,Defender,13906,73,16.6,2.9,0.14018691588785046,0.17603911980440098,0.27391054221199485,0.3566805695383288,0.19315403422982885,0.005904059040590406,0.042804428044280446,0.16752767527675277,0.2996309963099631,0.274169741697417,0.17232472324723247,0.03468634686346864,0.002952029520295203,107,2710.0
190,Forward,4310,23,17.8,0.8,1.1428571428571428,0.23271461716937356,0.26218097447795824,0.3074245939675174,0.19559164733178655,0.005658852061438965,0.03233629749393695,0.13096200485044462,0.37105901374292644,0.29991915925626517,0.12045270816491511,0.034761519805982216,0.004850444624090542,7,1237.0
191,Forward,13593,82,18.4,2.9,0.3835616438356164,0.11770764364010888,0.2862502758772898,0.35304936364305156,0.24284558228499964,0.0077632217370208634,0.036875303250849104,0.18098010674429887,0.2930616205725376,0.2552159146045609,0.1693352741387676,0.048520135856380396,0.008248423095584668,73,2061.0
193,Forward,13175,79,17.9,2.8,0.26666666666666666,0.1316888045540797,0.30838709677419357,0.3348007590132827,0.22489563567362428,0.013876040703052728,0.04949121184088807,0.1683626271970398,0.288159111933395,0.25624421831637373,0.16882516188714153,0.045328399629972246,0.00971322849213691,90,2162.0
194,Defender,5366,32,15.1,1.2,0.4666666666666667,0.1705180767797242,0.3119642191576593,0.3216548639582557,0.19530376444278794,0.0109204368174727,0.0483619344773791,0.16146645865834633,0.297191887675507,0.28471138845553823,0.15366614664586584,0.039781591263650544,0.0039001560062402497,15,1282.0
196,Midfielder,14217,85,17.1,3.1,0.30120481927710846,0.10628121263276359,0.32608848561581205,0.3626644158401913,0.2048252092565239,0.010004168403501459,0.04043351396415173,0.16340141725719048,0.29178824510212586,0.2763651521467278,0.17257190496040017,0.038766152563568156,0.006669445602334306,83,2399.0
197,Defender,12384,74,25.8,2.7,0.08974358974358974,0.1542312661498708,0.3180717054263566,0.3875968992248062,0.1398578811369509,0.004484304932735426,0.025112107623318385,0.16950672645739912,0.30807174887892375,0.3071748878923767,0.1591928251121076,0.0242152466367713,0.002242152466367713,78,2230.0
198,Defender,14262,86,15.3,3.1,0.10126582278481013,0.1074884307951199,0.269317066330108,0.44215397559949515,0.18076006170242603,0.0011547344110854503,0.02386451116243264,0.18283294842186298,0.30908391070053887,0.2732871439568899,0.18321785989222478,0.02501924557351809,0.001539645881447267,79,2598.0
200,Midfielder,7711,46,18.2,1.7,0.39285714285714285,0.1631435611464142,0.23057969135001946,0.37115808585138116,0.23434055245752822,0.008021390374331552,0.03208556149732621,0.1711229946524064,0.3235294117647059,0.2553475935828877,0.16310160427807488,0.042112299465240643,0.004679144385026738,28,1496.0
202,Midfielder,4161,25,13.9,0.9,1.2857142857142858,0.20115356885364094,0.2953616919009853,0.3600096130737803,0.14203316510454217,0.0029296875,0.0341796875,0.1552734375,0.3388671875,0.267578125,0.171875,0.025390625,0.00390625,7,1024.0
203,Defender,6869,41,16.2,1.5,0.32142857142857145,0.15970301353908867,0.29378366574464987,0.35754840588149656,0.18823700684233513,0.004691689008042895,0.04423592493297587,0.1876675603217158,0.2902144772117963,0.2406166219839142,0.19839142091152814,0.03150134048257373,0.002680965147453083,28,1492.0
204,Midfielder,14705,88,17.8,3.3,0.16666666666666666,0.1078544712682761,0.2760285617137028,0.3697381842910575,0.24624277456647398,0.00697292863002461,0.041427399507793276,0.17432321575061527,0.29204265791632483,0.2538966365873667,0.18990976210008204,0.03732567678424938,0.004101722723543888,90,2438.0
206,Midfielder,11212,67,17.3,2.4,0.3050847457627119,0.14876917588298252,0.2540135569033179,0.3509632536567963,0.245808062789868,0.014959202175883953,0.03943789664551224,0.15321849501359927,0.299637352674524,0.27787851314596557,0.17225747960108795,0.03762466001813237,0.004986400725294651,59,2206.0
208,Defender,14406,87,20.8,3.1,0.14444444444444443,0.13494377342773844,0.2814105233930307,0.4076079411356379,0.17582951547966125,0.006965607313887679,0.03569873748367436,0.16848062690465826,0.2969090117544623,0.29473225946887244,0.16848062690465826,0.024814976055724858,0.00391815411406182,90,2297.0
209,Defender,13814,83,17.1,3.0,0.16666666666666666,0.1691761980599392,0.3228608657883307,0.36615028232228175,0.14152309251484002,0.005879882402351953,0.029399412011759767,0.15959680806383872,0.3196136077278454,0.27005459890802186,0.1768164636707266,0.03485930281394372,0.0037799244015119695,90,2381.0
210,Defender,14365,86,16.1,3.5,0.18888888888888888,0.11326139923424991,0.28444135050469893,0.3709711103376262,0.23125652627915072,0.00603448275862069,0.04525862068965517,0.18017241379310345,0.26767241379310347,0.28448275862068967,0.17629310344827587,0.03620689655172414,0.003879310344827586,90,2320.0
213,Forward,13927,85,17.9,3.1,0.4444444444444444,0.10583758167588138,0.3252674660730954,0.34020248438285344,0.22847705895024054,0.007243460764587525,0.03621730382293763,0.15412474849094568,0.33400402414486924,0.262374245472837,0.1501006036217304,0.045875251509054325,0.01006036217303823,81,2485.0
215,Forward,12447,76,45.6,2.8,0.27906976744186046,0.1463003133285129,0.32963766369406283,0.31999678637422674,0.2039045553145336,0.00935374149659864,0.04804421768707483,0.1560374149659864,0.3120748299319728,0.2657312925170068,0.15858843537414966,0.045068027210884355,0.00510204081632653,86,2352.0
216,Defender,5493,34,14.2,1.2,0.65,0.2215547059894411,0.3566357181867832,0.2952849080648098,0.12579646823229565,0.010906612133605999,0.03135650988411725,0.16768916155419222,0.3019768234492161,0.28016359918200406,0.1656441717791411,0.03680981595092025,0.0054533060668029995,20,1467.0
218,Midfielder,13117,80,19.0,2.9,0.47560975609756095,0.13181367690782952,0.34672562323702066,0.33971182435008007,0.1814439277273767,0.010575793184488837,0.033685859772816296,0.16137877007442225,0.31218174696435563,0.2839796318057188,0.1508029768899334,0.03760282021151586,0.009792401096748922,82,2553.0
219,Defender,10259,63,16.6,2.3,0.18571428571428572,0.20138415050199823,0.3400916268642168,0.32595769568184035,0.13217662540208597,0.005314009661835749,0.025120772946859903,0.1502415458937198,0.33816425120772947,0.2927536231884058,0.157487922705314,0.028502415458937197,0.0024154589371980675,70,2070.0
220,Defender,9653,59,15.7,2.2,0.5,0.15736040609137056,0.3041541489692324,0.3576090334611002,0.1803584377913602,0.0030055817947617003,0.027050236152855303,0.1580077286389008,0.35422928295405753,0.26534993559467585,0.1498497209102619,0.0369257191927866,0.0055817947617003,48,2329.0
222,Midfielder,7742,47,25.0,1.7,0.5517241379310345,0.16584861792818392,0.3030224748127099,0.3328597261689486,0.1977525187290106,0.010221465076660987,0.031232254400908575,0.1641113003975014,0.30721181147075527,0.29017603634298694,0.1572969903463941,0.03236797274275979,0.0073821692220329355,29,1761.0
223,Forward,3478,21,17.4,0.9,0.5555555555555556,0.20097757331799884,0.36486486486486486,0.32863714778608394,0.10408280621046578,0.0067039106145251395,0.030167597765363128,0.14972067039106146,0.32625698324022345,0.30726256983240224,0.15307262569832403,0.0223463687150838,0.004469273743016759,9,895.0
224,Midfielder,6463,40,26.6,1.4,0.6363636363636364,0.17809066996750736,0.3287946773943989,0.3306514002785084,0.16184434473154882,0.008290816326530613,0.026785714285714284,0.17729591836734693,0.31760204081632654,0.27168367346938777,0.15051020408163265,0.039540816326530615,0.008290816326530613,22,1568.0
225,Defender,6301,39,22.8,1.4,0.6071428571428571,0.20028566894143787,0.3243929534994445,0.3004285034121568,0.1739406443421679,0.006455777921239509,0.03873466752743705,0.16010329244673982,0.32601678502259523,0.2788896061975468,0.15364751452550032,0.0316333118140736,0.004519044544867657,28,1549.0
226,Midfielder,11576,71,15.6,3.0,0.2111111111111111,0.1431409813407049,0.3708534899792674,0.31591223220456116,0.16992052522460263,0.0060324825986078886,0.03155452436194896,0.1851508120649652,0.29327146171693735,0.27331786542923436,0.1642691415313225,0.04269141531322506,0.0037122969837587007,90,2155.0
227,Midfielder,10726,66,16.7,2.4,0.5245901639344263,0.14683945552862204,0.288364721238113,0.3333022561998881,0.2311206414320343,0.012610340479192938,0.03783102143757881,0.17612442202606138,0.28457335014712065,0.2635561160151324,0.1723413198823035,0.042034468263976464,0.01092896174863388,61,2379.0
228,Defender,12648,77,16.4,2.8,0.16666666666666666,0.15891840607210625,0.33602150537634407,0.3277988614800759,0.17702403542061987,0.007324429125376993,0.03231365790607497,0.17277035760448084,0.3050409306333477,0.2722964239551917,0.17621714778112882,0.03059026281775097,0.0034467901766479965,90,2321.0
229,Defender,11612,71,18.5,2.7,0.07777777777777778,0.2255425421977265,0.3422321736135033,0.3316396830864623,0.10015501205649328,0.004384042086804033,0.025427444103463395,0.14730381411661553,0.33494081543182813,0.2919772029811486,0.16790881192459448,0.0263042525208242,0.0017536168347216134,90,2281.0
230,Defender,12103,74,15.6,2.9,0.15555555555555556,0.16797488226059654,0.3323969263818888,0.3347930265223498,0.16450466826406676,0.009783071033602722,0.03572947681837516,0.16716290940025522,0.29221607826456825,0.2994470438111442,0.15695448745214802,0.03530412590387069,0.0034028073160357296,90,2351.0
231,Forward,4107,25,16.1,0.9,2.25,0.266617969320672,0.3550036523009496,0.24202580959337716,0.13416118821524228,0.004909983633387889,0.024549918166939442,0.132569558101473,0.38461538461538464,0.2864157119476268,0.1342062193126023,0.027823240589198037,0.004909983633387889,4,1222.0
